study,study_role,study_short,case_id,construction,construction_display,construction_family,ansatz,envelope,duration_ns,total_gate_duration_ns,model_variant,include_chi_prime,n_active,target_family,target_kind,strict_process_fidelity,avg_gate_fidelity,cpsqr_process_fidelity,reduced_quartet_fidelity,full_quartet_fidelity,mean_residual_z_error_rad,mean_transverse_error_rad,parameter_count,target_parameter_count,artifact_path,notes,source_csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT3p0,direct_multitone,direct,direct,direct multitone,gaussian,1056.3380281690138,1056.3380281690138,chi_only,False,2,smooth_x,ideal_sqr,0.6555229366176941,0.7244183492941553,,,,0.0269093810585243,1.2254684276595478,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT3p0_direct_multitone.json,direct ideal-SQR target U = sum_n |n><n| tensor R_x(theta_n),C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT3p0,echoed_asymmetric,asymmetric echo,symmetric echo,echoed asymmetric,gaussian,1056.3380281690138,1136.3380281690138,chi_only,False,2,smooth_x,ideal_sqr,0.0918040864917054,0.2734432691933643,,,,0.2617272053035637,1.226898701767639,15,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT3p0_echoed_asymmetric.json,ideal echoed algebra with independent half corrections and weak duration asymmetry,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT3p0,echoed_independent,independent echo,independent echo,echoed independent,gaussian,1056.3380281690138,1136.3380281690138,chi_only,False,2,smooth_x,ideal_sqr,0.0918040864917054,0.2734432691933643,,,,0.2617272053035637,1.226898701767639,15,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT3p0_echoed_independent.json,ideal echoed algebra with independent half corrections and equal durations,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT3p0,echoed_symmetric,symmetric echo,symmetric echo,echoed symmetric,gaussian,1056.3380281690138,1136.3380281690138,chi_only,False,2,smooth_x,ideal_sqr,0.0917804669333243,0.2734243735466594,,,,0.2618446820364907,1.2273566871926398,13,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT3p0_echoed_symmetric.json,ideal echoed algebra with identical half targets R_x(theta_n/2) and two finite X_pi refocusing pulses,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT5p0,direct_multitone,direct,direct,direct multitone,gaussian,1760.5633802816897,1760.5633802816897,chi_only,False,2,smooth_x,ideal_sqr,0.6556737055128143,0.7245389644102515,,,,0.0261856209738069,1.2252377091118376,6,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT5p0_direct_multitone.json,direct ideal-SQR target U = sum_n |n><n| tensor R_x(theta_n),C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT5p0,echoed_asymmetric,asymmetric echo,symmetric echo,echoed asymmetric,gaussian,1760.5633802816897,1840.56338028169,chi_only,False,2,smooth_x,ideal_sqr,0.0915786331175328,0.2732629064940262,,,,0.260167607254138,1.224617123368187,15,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT5p0_echoed_asymmetric.json,ideal echoed algebra with independent half corrections and weak duration asymmetry,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT5p0,echoed_independent,independent echo,independent echo,echoed independent,gaussian,1760.5633802816897,1840.56338028169,chi_only,False,2,smooth_x,ideal_sqr,0.0915786331175328,0.2732629064940262,,,,0.260167607254138,1.224617123368187,15,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT5p0_echoed_independent.json,ideal echoed algebra with independent half corrections and equal durations,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na2_chiT5p0,echoed_symmetric,symmetric echo,symmetric echo,echoed symmetric,gaussian,1760.5633802816897,1840.56338028169,chi_only,False,2,smooth_x,ideal_sqr,0.091568935810044,0.2732551486480352,,,,0.2601907686687554,1.2247754044300905,13,4,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na2_chiT5p0_echoed_symmetric.json,ideal echoed algebra with identical half targets R_x(theta_n/2) and two finite X_pi refocusing pulses,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na3_chiT3p0,direct_multitone,direct,direct,direct multitone,gaussian,1056.3380281690138,1056.3380281690138,chi_only,False,3,smooth_x,ideal_sqr,0.5024549233505538,0.5735327914433318,,,,0.0458659146511922,1.5086304866283893,9,6,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na3_chiT3p0_direct_multitone.json,direct ideal-SQR target U = sum_n |n><n| tensor R_x(theta_n),C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
ideal_sqr_direct_vs_echoed_multitone,prior,ideal-SQR baseline,chi_only_smooth_x_na3_chiT3p0,echoed_asymmetric,asymmetric echo,symmetric echo,echoed asymmetric,gaussian,1056.3380281690138,1136.3380281690138,chi_only,False,3,smooth_x,ideal_sqr,0.0270493902139147,0.1660423344690697,,,,0.2206434825688708,1.3324398851253307,21,6,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\artifacts\cases\chi_only_smooth_x_na3_chiT3p0_echoed_asymmetric.json,ideal echoed algebra with independent half corrections and weak duration asymmetry,C:\Users\jl82323\Box\Shyam Shankar Quantum Circuits Group\Users\Users_JianJun\cqed_based_study\studies\ideal_sqr_direct_vs_echoed_multitone\data\study_results.csv
